model_number,star_age,star_mass,log_L,log_Teff,log_R,he_core_mass,c_core_mass,o_core_mass,si_core_mass,fe_core_mass,center_h1,center_he4
830.0,7097196.8649412,25.0,5.424451924918366,3.658213010754915,2.9190587774019785,9.082823372207356,6.550006125349849,6.5941237754946505,2.5180225741718956,0.2995899252618915,1.773842557449168e-31,4.525140484716984e-05
840.0,7097196.8649423905,25.0,5.423144884244689,3.6578872915396343,2.919056695495702,9.082823372207354,6.550006125349847,6.594123775494649,2.5180225741718942,0.35740108118190794,7.778111088248452e-32,9.71222234424997e-06
850.0,7097196.864943661,25.0,5.422978748466947,3.6578459779223236,2.919056254841452,9.082823372207336,6.550006125349831,6.593340283541316,2.5180225741718774,0.39754715470182167,6.258929174166209e-32,3.120537692187618e-06
860.0,7097196.8649470275,25.0,5.424261641707738,3.6581660458456686,2.919057565615159,9.082823372207285,6.550006125349777,6.593340283541264,2.518022574171825,0.44010397920556865,2.852450781191883e-32,1.6343216457440342e-06
870.0,7097196.864953498,25.0,5.424493778069978,3.6582243816954065,2.919056962096802,9.082823372207274,6.550006125349766,6.593340283541251,2.5180225741718125,0.4560106089858481,4.5960692633392887e-32,1.518373421578011e-06
880.0,7097196.864956023,25.0,5.423778032489914,3.6580461493173004,2.9190555540629832,9.08282337220727,6.550006125349763,6.593340283541249,2.51802257417181,0.47364718993831556,5.690248112214038e-32,1.3030244951105396e-06
890.0,7097196.8649682375,25.0,5.42479465517032,3.6583003756358514,2.9190554127660833,9.08282337220731,6.550006125349803,6.593340283541288,2.5180225741718485,0.5363295897880653,3.337419748832657e-32,5.47827150258086e-07
900.0,7097196.865011703,25.0,5.424020422891529,3.6581098625567705,2.91904932278485,9.08282337220731,6.550006125349803,6.593340283541288,2.5180225741718485,0.5901582004280203,3.2829391372167e-32,2.924423787208663e-07
910.0,7097196.865167303,25.0,5.421919478772469,3.657592883758729,2.919032808321403,9.08282337220731,6.550006125349803,6.593340283541288,2.5180225741718485,0.7368593120499911,4.6186113009227936e-32,1.2332635626367121e-07
920.0,7097196.865292659,25.0,5.4204545090787,3.65723285940409,2.9190203721837964,9.08282337220731,6.550006125349803,6.593340283541288,2.5180225741718485,0.9027924004330382,3.160372464612938e-32,6.530132584166587e-08
930.0,7097196.86595896,25.0,5.416145152647126,3.6561801792952955,2.9189710541855987,9.08282337220731,6.550006125349803,6.593340283541288,2.5180225741718485,1.1304503263946628,7.111647775124019e-32,1.455096290900042e-07
940.0,7097196.866535271,25.0,5.411559447210036,3.6550568956801643,2.918924768697315,9.082823372207308,6.550006125349803,6.593340283541288,2.5180225741718485,1.2538775421433064,7.405433402072526e-32,2.3537755006076573e-07
950.0,7097196.867347786,25.0,5.416963523115338,3.656411282615291,2.918918032779713,9.082823372207244,6.5500061253497375,6.593340283541224,2.5180225741717845,1.2403169175585356,6.548488876712388e-32,2.4607824662355234e-06
960.0,7097196.867745455,25.0,5.453650365371561,3.665463538193986,2.9191569427504347,9.082823360145996,6.550006125349789,6.5933402835412735,2.5180225741718347,1.3536976423996803,7.774610164560204e-32,0.0005097499952210673
970.0,7097196.867813048,25.0,5.454669500072227,3.6657093185633496,2.919174949362042,9.08282295002022,6.550006125349789,6.5933402835412735,2.5180225741718347,1.4856360968873785,8.017268080711425e-32,0.0017246002381720695
980.0,7097196.867822915,25.0,5.4540698284712645,3.665557957719083,2.9191778352500926,9.08282274995599,6.550006125349789,6.5933402835412735,2.5180225741718347,1.5190426509360684,9.297156840793502e-32,0.0012953625556538775
990.0,7097196.867832162,25.0,5.454335311306162,3.665627562777044,2.9191713665516206,9.082822536107757,6.550006125349789,6.5933402835412735,2.5180225741718347,1.5190426509360684,1.2832940854932286e-31,0.0008349913908851306
