model_number,star_age,star_mass,log_L,log_Teff,log_R,center_h1,center_he4
1330.0,12402398778.105564,0.7657914862164434,3.1586393043550536,3.5118283623128788,2.0789217640043955,0.0,0.9800912112749428
1340.0,12402407689.433567,0.7651470107845568,3.159721093013027,3.511686050910844,2.0797472811374518,0.0,0.9800912050293782
1350.0,12402416521.445488,0.7645046237506999,3.160625742238405,3.5115555918071997,2.0804605239574285,0.0,0.9800911987019074
1360.0,12402425262.37897,0.763865515287037,3.1617838253363972,3.5113922240268423,2.08136630106714,0.0,0.9800911923016998
1370.0,12402433976.215084,0.7632248131838408,3.1627479425143994,3.5112590445622707,2.0821147185852844,0.0,0.9800911857818456
1380.0,12402442659.576756,0.7625829541967526,3.1639382436015078,3.5110944431025555,2.0830390720482685,0.0,0.9800911791429534
1390.0,12402451309.772322,0.7619400867683663,3.165144402633597,3.5109250727573578,2.0839808922547087,0.0,0.9800911723856804
1400.0,12402459936.089125,0.7612954426806464,3.166142137724393,3.5107829733473577,2.084763958620107,4.271984208368173e-40,0.9800911655009525
1410.0,12402468524.30331,0.760650246902604,3.167170383240583,3.510627424432619,2.0855891792076795,0.0,0.9800911584982777
1420.0,12402477075.288242,0.7600044436596017,3.1682473615584215,3.5104705217057237,2.0864414738203902,0.0,0.9800911513754967
1430.0,12402485597.955215,0.7593573602984518,3.169284022595295,3.510341593469125,2.087217660812023,0.0,0.9800911441235463
1440.0,12402494085.125427,0.758709585590997,3.170400911648158,3.510172374600388,2.0881145430759296,0.0,0.98009113674664
1450.0,12402502552.712866,0.7580598800075831,3.1714604067121965,3.5100122321856415,2.0889645754374415,0.0,0.9800911292289688
1460.0,12402510982.580105,0.757409668184834,3.1725216159472422,3.509854916194327,2.0898098120375943,0.0,0.9800911215845524
1470.0,12402519385.717066,0.7567581396235247,3.1735867174502936,3.5097088455039103,2.090634504169954,0.0,0.9800911138015318
1480.0,12402527751.344099,0.75610612461311,3.174583482651536,3.509563159556461,2.091424258665472,0.0,0.9800911058880595
1490.0,12402536074.357853,0.7554540806929523,3.175618982596931,3.509402155770639,2.092264016209814,0.0,0.9800910978473625
1500.0,12402544522.634918,0.754788769323608,3.1768593188854743,3.5092377879507928,2.093212919993779,0.0,0.9800910895107693
1510.0,12402553121.500528,0.7541079752367348,3.1782618460672833,3.5090308584215935,2.094328042643081,0.0,0.9800910808402432
1520.0,12402561352.816477,0.753452862556153,3.1793070167636115,3.508881842503893,2.0951486598266458,0.0,0.9800910723613563
1530.0,12402569563.143177,0.7527960423710244,3.180330301812053,3.5087210166299068,2.095981954098839,0.0,0.9800910637252358
1540.0,12402577416.04163,0.7521646569154219,3.180957694148029,3.508640022456586,2.096457638613469,0.0,0.9800910552944497
1550.0,12402585889.639292,0.7514798798936245,3.1823774200004116,3.5084413199659368,2.0975649065209594,0.0,0.9800910460046433
1560.0,12402594223.757929,0.7508025546326832,3.1833513466369663,3.5082794460793685,2.098375617612372,0.0,0.9800910366691881
1570.0,12402602339.292873,0.7501397709812501,3.184240909627647,3.5081425297552613,2.099094231755928,0.0,0.9800910273845261
1580.0,12402610409.541693,0.7494773503601851,3.1851438268783623,3.508006636675291,2.099817476541225,0.0,0.9800910179572281
1590.0,12402618439.418648,0.7488149107254216,3.186063716252033,3.5078740756279965,2.1005425433226503,0.0,0.9800910083800983
1600.0,12402626439.325096,0.7481516857167902,3.187160323291837,3.507716523454268,2.1014059511900074,0.0,0.9800909986385722
1610.0,12402634552.154675,0.7474755680245634,3.1881729774485508,3.5075489811765,2.102247362823902,0.0,0.9800909885509541
